option_type,expiry_time,strike_price,market_price
c,0.11225188227241616,270.0,0.03
p,0.11225188227241616,185.0,0.13
p,0.11225188227241616,190.0,0.16999999999999998
p,0.11225188227241616,195.0,0.22
p,0.11225188227241616,200.0,0.31
p,0.11225188227241616,205.0,0.45499999999999996
p,0.11225188227241616,210.0,0.72
p,0.11225188227241616,215.0,1.205
p,0.11225188227241616,220.0,2.0549999999999997
p,0.11225188227241616,225.0,3.55
p,0.11225188227241616,230.0,5.875
p,0.11225188227241616,235.0,9.25
p,0.11225188227241616,240.0,13.475
p,0.11225188227241616,245.0,18.35
p,0.11225188227241616,255.0,28.375
p,0.11225188227241616,260.0,33.325
p,0.11225188227241616,265.0,38.325
c,0.2080766598220397,185.0,43.95
c,0.2080766598220397,190.0,38.6
c,0.2080766598220397,195.0,33.7
c,0.2080766598220397,200.0,28.4
c,0.2080766598220397,205.0,23.8
c,0.2080766598220397,210.0,19.35
c,0.2080766598220397,215.0,15.15
c,0.2080766598220397,220.0,11.3
c,0.2080766598220397,225.0,8.05
c,0.2080766598220397,230.0,5.3
c,0.2080766598220397,235.0,3.25
c,0.2080766598220397,240.0,1.84
c,0.2080766598220397,245.0,0.98
c,0.2080766598220397,250.0,0.5
c,0.2080766598220397,255.0,0.26
c,0.2080766598220397,260.0,0.14
c,0.2080766598220397,265.0,0.09
c,0.2080766598220397,270.0,0.06
p,0.2080766598220397,185.0,0.265
p,0.2080766598220397,190.0,0.365
p,0.2080766598220397,195.0,0.49
p,0.2080766598220397,200.0,0.71
p,0.2080766598220397,205.0,1.045
p,0.2080766598220397,210.0,1.57
p,0.2080766598220397,215.0,2.385
p,0.2080766598220397,220.0,3.5999999999999996
p,0.2080766598220397,225.0,5.325
p,0.2080766598220397,230.0,7.6
p,0.2080766598220397,235.0,10.6
p,0.2080766598220397,240.0,13.975
p,0.2080766598220397,245.0,18.6
p,0.2080766598220397,250.0,23.375
p,0.2080766598220397,260.0,33.25
p,0.2080766598220397,265.0,38.25
c,0.28473648186173856,195.0,34.4
c,0.28473648186173856,200.0,29.7
c,0.28473648186173856,210.0,20.4
c,0.28473648186173856,215.0,17.05
c,0.28473648186173856,220.0,12.35
c,0.28473648186173856,225.0,9.15
c,0.28473648186173856,230.0,6.4
c,0.28473648186173856,235.0,4.2
c,0.28473648186173856,240.0,2.99
c,0.28473648186173856,245.0,1.8
c,0.28473648186173856,250.0,0.94
c,0.28473648186173856,255.0,0.54
c,0.28473648186173856,260.0,0.32
c,0.28473648186173856,265.0,0.2
c,0.28473648186173856,270.0,0.13
p,0.28473648186173856,195.0,0.745
p,0.28473648186173856,200.0,1.05
p,0.28473648186173856,205.0,1.51
p,0.28473648186173856,210.0,2.185
p,0.28473648186173856,215.0,3.1500000000000004
p,0.28473648186173856,220.0,4.475
p,0.28473648186173856,225.0,6.5
p,0.28473648186173856,230.0,8.9
p,0.28473648186173856,235.0,12.3
p,0.28473648186173856,240.0,15.65
c,0.3805612594113621,185.0,43.35
c,0.3805612594113621,190.0,38.6
c,0.3805612594113621,195.0,33.9
c,0.3805612594113621,200.0,29.15
c,0.3805612594113621,205.0,24.7
c,0.3805612594113621,210.0,20.4
c,0.3805612594113621,215.0,16.45
c,0.3805612594113621,220.0,12.8
c,0.3805612594113621,225.0,9.6
c,0.3805612594113621,230.0,6.85
c,0.3805612594113621,235.0,4.65
c,0.3805612594113621,240.0,3.05
c,0.3805612594113621,245.0,1.87
c,0.3805612594113621,250.0,1.12
c,0.3805612594113621,255.0,0.66
c,0.3805612594113621,260.0,0.38
c,0.3805612594113621,265.0,0.24
c,0.3805612594113621,270.0,0.15
p,0.3805612594113621,185.0,0.515
p,0.3805612594113621,190.0,0.6799999999999999
p,0.3805612594113621,195.0,0.925
p,0.3805612594113621,200.0,1.275
p,0.3805612594113621,205.0,1.79
p,0.3805612594113621,210.0,2.525
p,0.3805612594113621,215.0,3.55
p,0.3805612594113621,220.0,4.9
p,0.3805612594113621,225.0,6.7
p,0.3805612594113621,230.0,8.975000000000001
p,0.3805612594113621,235.0,11.75
p,0.3805612594113621,240.0,15.175
p,0.3805612594113621,245.0,19.125
p,0.3805612594113621,250.0,23.6
p,0.3805612594113621,255.0,28.225
p,0.3805612594113621,260.0,33.3
p,0.3805612594113621,270.0,43.25
c,0.45722108145106094,185.0,44.65
c,0.45722108145106094,190.0,40.0
c,0.45722108145106094,195.0,35.4
c,0.45722108145106094,200.0,30.95
c,0.45722108145106094,205.0,26.7
c,0.45722108145106094,210.0,22.65
c,0.45722108145106094,215.0,18.85
c,0.45722108145106094,220.0,15.35
c,0.45722108145106094,225.0,12.15
c,0.45722108145106094,230.0,9.35
c,0.45722108145106094,235.0,7.0
c,0.45722108145106094,240.0,5.05
c,0.45722108145106094,245.0,3.55
c,0.45722108145106094,250.0,2.4
c,0.45722108145106094,255.0,1.61
c,0.45722108145106094,260.0,1.06
c,0.45722108145106094,265.0,0.7
c,0.45722108145106094,270.0,0.45
p,0.45722108145106094,185.0,0.97
p,0.45722108145106094,190.0,1.27
p,0.45722108145106094,195.0,1.665
p,0.45722108145106094,200.0,2.2
p,0.45722108145106094,205.0,2.9050000000000002
p,0.45722108145106094,210.0,3.8
p,0.45722108145106094,215.0,5.0
p,0.45722108145106094,220.0,6.475
p,0.45722108145106094,225.0,8.325
p,0.45722108145106094,230.0,10.575
p,0.45722108145106094,235.0,13.175
p,0.45722108145106094,240.0,16.375
p,0.45722108145106094,245.0,20.0
p,0.45722108145106094,250.0,24.075
p,0.45722108145106094,255.0,28.6
p,0.45722108145106094,260.0,33.325
